simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
64	5.2381856	-0.13717783	2.4413243	455.09349	1.5977733	1.478668	0.0062291653	-0.04413826
65	3.0538715	-0.38970452	0.98322088	3983.8552	1.9289659	2.2184523	-0.036856086	-0.028800938
66	3.5781198	-0.39162067	0.033205468	842.54571	1.544059	1.5995941	-0.0093745632	-0.015231879
67	2.4767271	-0.67572109	1.7971532	124.98251	1.2142954	1.3731099	-0.038594506	-0.014136788
68	0.068151991	1.2671598	2.3757738	911.84957	1.6807645	1.583624	-0.046348439	0.049598554
69	2.7444202	-1.4862271	2.9367676	316.91765	1.5106149	1.4501161	-0.049717675	-0.030359143
70	0.32968952	-0.79797473	2.276701	174.42611	1.3218805	1.4759866	-0.042307395	-0.0043717435
71	3.1017807	-0.70862947	0.86431187	472.44344	1.6540646	1.510084	-0.023042284	-0.015110509
72	4.0843913	1.2658593	2.3158491	294.91437	1.3447064	1.3527293	0.02470729	0.047573671
73	2.5151402	0.84237622	0.33771869	493.14661	1.4696582	1.2969429	0.026890864	0.024986934
74	5.3682316	0.66546764	0.70076211	166.12688	1.2234219	1.5085684	-0.04284953	0.048565017
75	5.2731852	0.71180215	1.2761184	278.56619	1.3884124	1.3662199	0.048661271	0.029297236
76	2.0077762	-0.017791802	1.9503137	398.56711	1.4005814	1.4174285	-0.005167221	-0.0080972823
77	0.70555018	0.27950434	2.7058516	303.6038	1.3662265	1.5007874	0.03337528	0.030920401
78	0.26452254	-0.37696982	1.9024783	187.53499	1.3350246	1.4095858	0.036123164	0.023895094
79	4.6411839	-0.3127962	1.0974869	197.94394	1.4866813	1.5024922	-0.022449623	0.032679658
80	3.8860093	-0.39857275	0.76079108	431.49658	1.558058	1.498031	0.0148807	-0.028759368
81	1.9103822	-0.4255028	0.65576879	480.37651	1.4333124	1.5208739	0.001804478	-0.047132607
82	0.71953116	-0.69707687	0.80138823	364.03167	1.4857224	1.3756158	0.034687216	-0.0072386924
83	5.8789558	-0.36531957	2.8192632	346.39678	1.3033585	1.3396896	0.045624304	-0.045676897
84	4.6260748	-0.74187415	1.361949	105.55104	1.3464175	1.3992232	0.035641266	-0.034852468
85	3.3005912	0.66161096	2.8972973	706.88274	1.4556387	1.5001211	-0.0041412029	-0.024127897
